Krishan,Chander,male,https://www.wikidata.org/wiki/Special:EntityPage/Q575066,https://www.worldcat.org/identities/lccn-n79107930,NULL 
Balachandra,Rajan,male,https://www.wikidata.org/wiki/Q4849737,https://www.worldcat.org/identities/lccn-n50054416,NULL 
Krishnalal,Shridharani,male,https://www.wikidata.org/wiki/Special:EntityPage/Q2728673,https://www.worldcat.org/identities/lccn-n89241976,NULL 
Sasthibrata,Chakravarti,male,https://www.wikidata.org/wiki/Special:EntityPage/Q7425810,https://www.worldcat.org/identities/lccn-n85098055,NULL 
L.N.,Birla,male,NULL ,NULL ,NULL 
V.K.,Subramaniam,male,NULL ,NULL ,NULL 
Santha Rama ,Rau,female,https://www.wikidata.org/wiki/Special:EntityPage/Q2790907,https://www.worldcat.org/identities/lccn-n50054431,NULL 
Amal,Ghose,NULL ,NULL ,http://worldcat.org/identities/lccn-n50035097/,NULL 
Arun,Joshi,male,https://www.wikidata.org/wiki/Special:EntityPage/Q31319665,https://www.worldcat.org/identities/lccn-n50039273,NULL 
A.D.,Gorwala,NULL ,NULL ,NULL ,NULL 
Namita,Gokhale,female,https://www.wikidata.org/wiki/Special:EntityPage/Q6961907,https://www.worldcat.org/identities/lccn-n84091542,NULL 
Indira,Mahindra,female,NULL ,NULL ,NULL 
Vasant,Shahane,male,NULL ,NULL ,NULL 
P.,Thomas,NULL ,NULL ,NULL ,NULL 
A.K.,Srikumar,male,NULL ,http://worldcat.org/identities/lccn-n86806475/,NULL 
T.C.,Ghai,NULL ,NULL ,NULL ,NULL 
K.V.,Subbaram,NULL ,NULL ,NULL ,NULL 
Romen,Basu,male,NULL ,NULL ,NULL 
Vinod,Meghani,male,NULL ,NULL ,NULL 
Nagindas,Parekh,male,https://www.wikidata.org/wiki/Special:EntityPage/Q2762081,https://www.worldcat.org/identities/lccn-n82109980,
Prajaram,Raval,male,https://www.wikidata.org/wiki/Special:EntityPage/Q2764927,https://www.worldcat.org/identities/lccn-n89267114,
Anila,Dalal,female,https://www.wikidata.org/wiki/Special:EntityPage/Q2722272,https://www.worldcat.org/identities/lccn-n89297080,
Hundraj,Balwani,male,NULL ,NULL ,NULL 
P.V.,Mangawedhekar,NULL ,NULL ,NULL ,NULL 
Nalini,Pant,female,NULL ,NULL ,NULL 
Clinton,Seely,male,https://www.wikidata.org/wiki/Special:EntityPage/Q5134067,https://www.worldcat.org/identities/lccn-n82019892,NULL 
Mini,Krishnan,female,NULL ,NULL ,NULL 
Vyankatesh,Madgulkar,male,https://www.wikidata.org/wiki/Special:EntityPage/Q3309785,https://www.worldcat.org/identities/lccn-n82043519,NULL 
